Matrix Size,Ant,Brute
2,39.6,0.6
3,87.8,1
4,167,6.6
5,350,16.2
6,591.8,69.2
7,742,568.2
8,1096.4,4883.2
9,1304.4,48896.4
10,1678.4,484544
